target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000008193,Spib,8.74E-10,-1.271189872,84.11564637,67.25798227,45.33523956,95.80973811,83.2949589,17.68190467,14.07218085,20.25314222,20.58681628,31.26041736
ENSMUSG00000028008,Asic5,0.012141909,-1.271552366,12.08063805,20.20753921,8.965051086,16.68180871,11.35739245,4.60381199,0.979728814,8.922151986,1.070980564,7.288854663
ENSMUSG00000015312,Gadd45b,0.000479309,-1.272935266,147.426829,111.2745125,38.17439751,147.3385075,142.6189118,31.80999256,20.21170395,55.56187085,25.56641698,23.3151029
ENSMUSG00000028300,C9orf72,0.004442334,-1.275276808,130.2622979,327.1322851,51.04534651,107.7358306,381.8866463,48.61094509,36.18770321,49.44982656,39.71889736,42.45770847
ENSMUSG00000022129,Dct,0.00200546,-1.275393484,22.04023754,11.8504451,9.837881175,8.945169381,13.01441028,0.756256359,4.357335216,3.281135354,3.260246497,6.699176697
ENSMUSG00000041550,Serpina5,0.015988338,-1.276061233,10.98239823,26.01521582,49.63546054,23.87055916,18.64187777,3.864722164,2.939186441,8.922151986,3.212941692,22.47790843
ENSMUSG00000091649,Phf11b,0.001620376,-1.28051036,43.92959291,46.14878693,13.31535268,42.6322643,54.0347546,15.07387069,14.26241484,13.05823453,7.496863947,3.977963516
ENSMUSG00000034765,Dusp5,0.000214686,-1.282023164,231.7286026,92.23576518,53.31216132,213.8802101,133.9884965,50.24138813,37.22969492,35.68860794,23.56157241,32.46808996
ENSMUSG00000025964,Adam23,0.000188368,-1.284429494,332.5812627,237.7600632,176.2229595,294.4032357,185.5800481,78.36051813,30.90519976,84.06668214,41.5405874,141.5500257
ENSMUSG00000031886,Ces2e,1.13E-19,-1.285099685,371.7071072,262.0586439,425.0381563,373.4721625,288.5996311,92.59829461,67.22633078,99.71381371,95.38496773,119.6988755
ENSMUSG00000032204,Aqp9,8.69E-12,-1.285196282,179.0360012,158.0066669,82.04509198,178.8693148,162.4063414,44.66853269,33.33746468,44.79611623,32.7597194,47.76083862
ENSMUSG00000024029,Tff3,0.000397778,-1.285216714,3087.152142,2433.605189,2252.898403,3606.364078,3093.386593,1168.112274,277.2632543,1470.370647,611.529902,1046.471515
ENSMUSG00000000739,Sult5a1,0.000677961,-1.292267072,14.27033381,16.54993132,3.813182863,14.56423704,12.07276899,2.077704371,1.830648411,4.367031968,2.542480276,3.113805363
ENSMUSG00000055401,Fbxo6,0.000167038,-1.292469998,230.5343403,317.3128126,119.2348097,312.9051982,336.2523624,97.49150149,41.34584209,94.81324119,36.65422014,99.25166677
ENSMUSG00000020363,Gfpt2,1.02E-06,-1.293609403,37.86731575,60.57743731,19.07195284,35.77543133,54.15095953,10.47028374,7.750927178,15.88296704,9.495649995,9.021939543
