Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000026803,135.9882425,149.6996119,140.1756668,70.54443728,139.9217281,149.5495418,150.8465826,139.2207208,104.9580856,137.6783164
ENSMUSG00000026805,0,0,1.044101888,0,0,0.816590302,0,0,0,0
ENSMUSG00000026806,11.1937678,12.93194777,13.90499016,17.93836986,14.3164028,15.74238281,17.39055952,15.18228595,13.41310597,19.23106018
ENSMUSG00000026807,0.785388042,2.958875869,3.318455709,1.734943596,2.00780891,2.082587782,2.190928666,2.676645596,2.988001944,2.401744639
ENSMUSG00000026809,6.168696121,5.238345984,8.249260498,9.487641051,3.91567554,8.678592659,7.133211299,10.4808662,12.03062453,5.494837621
ENSMUSG00000026810,188.527704,155.0991657,207.1641954,164.8848481,209.8134665,182.4805564,190.5587878,216.0399179,187.0494462,210.4203106
ENSMUSG00000026811,447.4060228,328.4417591,319.6942154,461.9179319,310.449354,430.6861835,305.0188556,340.2965322,471.4999227,310.9291063
ENSMUSG00000026812,162.3794866,244.4306053,168.5794465,131.7733014,244.8259771,180.3299332,256.2623954,165.204763,173.897331,189.770847
ENSMUSG00000026814,783.2828477,737.6796128,489.0343732,750.5310713,784.7923655,486.9345951,387.1615817,462.1697494,447.3869886,490.248432
ENSMUSG00000026815,249.0439915,371.8514647,310.5421572,236.0126663,383.6416559,418.7620085,493.9544114,391.2519699,511.1835893,451.0503031
ENSMUSG00000026816,50.94077495,66.36590877,53.9245591,45.59690014,58.65051312,56.19655635,73.3517335,52.34462621,61.68039714,54.191512
ENSMUSG00000026817,4.302680617,8.497823626,7.698515218,6.883769962,3.813857683,4.974754166,9.747722453,4.094783652,6.906460447,5.36286405
ENSMUSG00000026818,21.52021822,0,214.7462295,41.40993979,0,0.574237338,0,294.3925853,120.2240793,0
ENSMUSG00000026819,1300.409379,1436.33473,129.1105481,1228.408152,1393.448522,92.30929199,100.0050377,81.77766192,98.06028125,169.1386179
ENSMUSG00000026820,85.97705192,63.35406713,64.34226366,56.08653176,61.37083585,32.85013839,57.80400001,37.95057471,38.57604781,66.97742999
ENSMUSG00000026821,25.53917882,23.81846878,19.86558387,16.52599443,20.49849299,17.05125035,10.83427317,12.33976919,12.26894152,11.66492595
ENSMUSG00000026822,3755.043097,3183.809657,3348.200579,4278.315927,3682.448848,3129.64946,1220.107561,3367.642737,2138.252847,2574.399025
ENSMUSG00000026824,0,0,2.384330969,0,0,0,0,4.614693279,0,0
ENSMUSG00000026825,22.06628183,11.21313678,114.8367927,14.86800536,6.652679861,17.97621421,21.38558552,35.8809761,23.67062616,15.34057292
ENSMUSG00000026826,13.48201319,15.05851624,10.24653558,35.06823963,66.04811948,48.23484309,73.3214878,10.7805398,13.73388546,5.965825588
ENSMUSG00000026827,94.25354612,127.3219346,90.73736101,85.79647541,105.4939904,66.91818846,76.39886092,57.74791264,52.93441144,55.13018505
ENSMUSG00000026828,0,1.18250981,12.00844029,0,0,0.867437059,0,5.60896818,0.961447853,0
ENSMUSG00000026829,8.839558705,16.22474128,8.225414821,2.864467099,11.65117361,7.729444328,4.898644068,12.69253401,14.22663574,12.48772691
ENSMUSG00000026830,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026831,0,2.137374759,0,0,0,0,0.979728814,0,0,0
ENSMUSG00000026832,90.99992695,72.96823634,29.71904175,86.42508872,59.97455101,32.98581196,22.09115416,28.87817972,24.76313018,30.48945328
